Probabilidad,Codigo,Huffman
0.03349206349206349,00000,11000,
0.03222222222222222,00001,10100,
0.03349206349206349,00010,11001,
0.03111111111111111,00011,10001,
0.030634920634920636,00100,01110,
0.0353968253968254,00101,11110,
0.03190476190476191,00110,10011,
0.030634920634920636,00111,01101,
0.034126984126984124,01000,11100,
0.030476190476190476,01001,01100,
0.02857142857142857,01010,00100,
0.027777777777777776,01011,00010,
0.027936507936507936,01100,00011,
0.03571428571428571,01101,11111,
0.03222222222222222,01110,10101,
0.030952380952380953,01111,10000,
0.029047619047619048,10000,00101,
0.034126984126984124,10001,11011,
0.0326984126984127,10010,10110,
0.031746031746031744,10011,10010,
0.034444444444444444,10100,11101,
0.03015873015873016,10101,01011,
0.02746031746031746,10110,00001,
0.027142857142857142,10111,00000,
0.033174603174603176,11000,10111,
0.030793650793650793,11001,01111,
0.029841269841269842,11010,01000,
0.03,11011,01001,
0.029047619047619048,11100,00110,
0.03015873015873016,11101,01010,
0.029365079365079365,11110,00111,
0.034126984126984124,11111,11010,
