Palabra         Huffman        
00000           11000          
00001           10100          
00010           11001          
00011           10001          
00100           01110          
00101           11110          
00110           10011          
00111           01101          
01000           11100          
01001           01100          
01010           00100          
01011           00010          
01100           00011          
01101           11111          
01110           10101          
01111           10000          
10000           00101          
10001           11011          
10010           10110          
10011           10010          
10100           11101          
10101           01011          
10110           00001          
10111           00000          
11000           10111          
11001           01111          
11010           01000          
11011           01001          
11100           00110          
11101           01010          
11110           00111          
11111           11010          
