Codigo ---> Huffman
0000000 ---> 1011100
0000001 ---> 0100011
0000010 ---> 1100000
0000011 ---> 1011011
0000100 ---> 0110101
0000101 ---> 0001000
0000110 ---> 1110111
0000111 ---> 1011010
0001000 ---> 1100100
0001001 ---> 0111001
0001010 ---> 1010010
0001011 ---> 1000100
0001100 ---> 1010111
0001101 ---> 0011001
0001110 ---> 1110001
0001111 ---> 0110000
0010000 ---> 1000110
0010001 ---> 000010
0010010 ---> 1110101
0010011 ---> 1100110
0010100 ---> 0010111
0010101 ---> 0111011
0010110 ---> 11111100
0010111 ---> 1010000
0011000 ---> 1100001
0011001 ---> 1010101
0011010 ---> 1111100
0011011 ---> 1110011
0011100 ---> 0101010
0011101 ---> 0000011
0011110 ---> 000000
0011111 ---> 1001010
0100000 ---> 1001011
0100001 ---> 0001001
0100010 ---> 0101001
0100011 ---> 1111111
0100100 ---> 0011100
0100101 ---> 0111000
0100110 ---> 0101100
0100111 ---> 0010000
0101000 ---> 1111010
0101001 ---> 000101
0101010 ---> 1000111
0101011 ---> 1000011
0101100 ---> 1010011
0101101 ---> 0110001
0101110 ---> 0110110
0101111 ---> 0010101
0110000 ---> 1111001
0110001 ---> 1011001
0110010 ---> 0001111
0110011 ---> 0011010
0110100 ---> 1101001
0110101 ---> 0100101
0110110 ---> 0011011
0110111 ---> 1010100
0111000 ---> 1001000
0111001 ---> 0111100
0111010 ---> 0100010
0111011 ---> 1001001
0111100 ---> 0001100
0111101 ---> 0101011
0111110 ---> 0111111
0111111 ---> 1010110
1000000 ---> 0100001
1000001 ---> 0010011
1000010 ---> 0110100
1000011 ---> 1101111
1000100 ---> 1100010
1000101 ---> 1000010
1000110 ---> 1100011
1000111 ---> 1110100
1001000 ---> 0010110
1001001 ---> 0001110
1001010 ---> 0100110
1001011 ---> 11101100
1001100 ---> 0000110
1001101 ---> 0000111
1001110 ---> 1001110
1001111 ---> 0100111
1010000 ---> 1110000
1010001 ---> 0011101
1010010 ---> 1001111
1010011 ---> 1001100
1010100 ---> 0111010
1010101 ---> 11111101
1010110 ---> 0101101
1010111 ---> 1111101
1011000 ---> 0100100
1011001 ---> 0010001
1011010 ---> 1101000
1011011 ---> 0010100
1011100 ---> 0011110
1011101 ---> 0101110
1011110 ---> 1001101
1011111 ---> 1101101
1100000 ---> 1101100
1100001 ---> 0011111
1100010 ---> 0110111
1100011 ---> 1000000
1100100 ---> 1110010
1100101 ---> 1000101
1100110 ---> 11101101
1100111 ---> 0010010
1101000 ---> 1011111
1101001 ---> 1000001
1101010 ---> 0110010
1101011 ---> 1101110
1101100 ---> 0111110
1101101 ---> 1101010
1101110 ---> 0110011
1101111 ---> 0101111
1110000 ---> 1111000
1110001 ---> 11110110
1110010 ---> 0011000
1110011 ---> 0000010
1110100 ---> 1010001
1110101 ---> 1011101
1110110 ---> 11110111
1110111 ---> 0001101
1111000 ---> 1011110
1111001 ---> 0101000
1111010 ---> 1100101
1111011 ---> 0100000
1111100 ---> 1011000
1111101 ---> 1100111
1111110 ---> 1101011
1111111 ---> 0111101
